float_wmo,date,prof_number,dt,NCP
3902681,2024-11-01,NA,15,-29.58468099720943
3902681,2024-11-16,NA,15,-35.122325210362504
3902681,2024-12-01,NA,15,-26.548645848212484
3902681,2024-12-16,NA,15,-58.518801847046234
3902681,2024-12-31,NA,15,-50.51625140496464
3902681,2025-01-15,NA,15,-22.79761098340223
3902681,2025-01-30,NA,15,30.737650651500758
3902681,2025-02-14,NA,15,-32.257488864543944
3902681,2025-03-01,NA,15,-38.56323763877358
3902681,2025-03-16,NA,15,-17.975933471734365
3902681,2025-03-31,NA,15,18.94230444778032
3902681,2025-04-15,NA,15,55.42820120568269
3902681,2025-04-30,NA,15,50.55935304627311
3902681,2025-05-15,NA,15,68.79342515767281
3902681,2025-05-30,NA,15,3.4689438575432847
3902681,2025-06-14,NA,15,18.49501194824516
3902681,2025-06-29,NA,15,-1.3323017910267434
3902681,2025-07-14,NA,15,7.644430246755686
3902681,2025-07-29,NA,15,7.738265441618714
3902681,2025-08-13,NA,15,9.305790659431441
3902681,2025-08-28,NA,15,-20.229024410215978
3902681,2025-09-12,NA,15,5.437728109785769
3902681,2025-09-27,NA,15,-41.5060885983489
3902681,2025-10-12,NA,15,-20.760145156793826
3902681,2025-10-27,NA,15,-28.101312243037434
3902681,2025-11-11,NA,15,-27.912417955460374
3902681,2025-11-26,NA,15,-41.80186412755836
3902681,2025-12-11,NA,15,-21.270103022702678
3902681,2025-12-26,NA,15,-10.469842660235175
3902681,2026-01-10,NA,15,-69.70652139251928
3902681,2026-01-25,NA,15,-36.631572323750966
3902681,2026-02-09,NA,15,-3.2647792659359083
